Reporting Period	Peer Group Description	Peer Group	UBPSE015	UBPSE008	UBPSE029	UBPS7414	UBPSE023	UBPSD486	UBPSE012	UBPSE018	UBPSE024	UBPSE013	UBPSE019	UBPSE541	UBPSE027	UBPS7408	UBPSE010	UBPSK447	UBPSE007	UBPSE016	UBPSE021	UBPSE542	UBPSE003	UBPSE006	UBPSE022	UBPSE028	UBPSE011	UBPS7316	UBPSE002	UBPSE014	UBPSJ248	UBPSE005	UBPSE020	UBPSE017	UBPS7402	UBPSE004	UBPSE025	UBPSJA35	UBPSE009	UBPSE001	UBPSE026	
			LIAB_IB_AA	SEC_GN_AA	NCORE_FND_LT1_GY	NONCURRENT ASSETS AS PERCENT OF TOTL	LNLS_LOS_TOT	RBC_T1_TOT_AA	INC_NET_SUBS_AA	INT_INC_NET_EA	LNLS_ASET_TOT	INC_NET_AA	NET_LNLS_AVG_CYB	LNLS_TOT_PD_90_GRS	LNLS_NET_GY	ANNUAL CHANGE IN TIER 1 CAPITAL	INC_NET_OP_AA	NCORE DPDNCY INS LIMIT TIME DEP	INC_PTAX_OP_AA	INT_INC_EA	LNLS_LOS_NET	LNLS_TOT_NACCR	INT_INC_NET_AA	PROV_LNLS_ATTR_AA	LNLS_LOS_NHFS	INV_TEMP_GY	INC_BEI_AA	SURVEILLANCE MODEL ASSET GROWTH RATE	INT_EXP_AA	EA_AVG_AA	INCNET_NONCON_AA	OVHD_EXP_AA	NOI_LNLS_CHGFF_CYB	INT_EXP_EA	TOTAL DIVIDENDS AS PERCENT OF NET IN	INC_NONINT_AA	NI_DIVD_ECAP_CYB	Unrealized holding gains (losses) on	INC_PTAX_NET_OP_AA	INC_AA	LNLS_NINV_ORE_CAP	
3/31/2018 11:59:59 PM	All Bankers Banks in California	CABKR	40.4581	0.0000	-10.6383	0.1653	1.4232	8.7151	0.7212	2.4312	41.2895	0.7212	-0.0061	0.0000	10.5248	1.2444	0.7212	-8.9249	1.0037	3.1313	0.0000	0.1653	2.1426	0.0000	1.4232	2.2242	0.7236	2.2843	0.6169	88.1276	0.0000	3.4695	0.0000	0.7000	0.0000	2.3306	8.7256	0.0000	1.0037	2.7595	0.7597	
3/31/2018 11:59:59 PM	All Bankers Banks in Colorado	COBKR	45.9204	0.0000	100.2895	1.5163	1.7997	11.5145	0.6442	3.1660	55.7918	0.6442	1.8641	0.0000	2.1926	4.4995	0.6442	-8.8567	0.8381	3.9184	0.9606	1.5163	2.9303	0.5024	1.7997	97.4225	0.0354	21.8475	0.6963	92.5541	0.0000	4.2448	1.2063	0.7523	80.9061	2.6551	1.0555	0.0000	0.8381	3.6267	7.9817	
3/31/2018 11:59:59 PM	All Bankers Banks in Kansas	KSBKR	56.4277	0.0000	33.3445	0.0612	2.1394	14.1545	1.4240	3.4678	71.8176	1.4240	0.4261	0.0612	9.4138	7.1908	1.4240	26.9064	1.8701	4.2432	5.1511	0.0000	3.1156	0.2314	2.1394	-29.2494	1.3601	-2.6408	0.6965	89.8440	0.0000	5.2993	7.0970	0.7753	0.0000	4.2853	10.2013	0.0000	1.8701	3.8122	1.9394	
3/31/2018 11:59:59 PM	All Bankers Banks in Kentucky	KYBKR	68.3403	0.0000	4530.7870	0.0000	0.9874	10.8264	0.3579	1.2261	27.9034	0.3579	-0.0130	0.0000	6.7601	0.2398	0.3579	-189.9920	0.4820	2.1620	0.0000	0.0000	1.2137	0.0000	0.9874	1994.6073	0.3611	8.0260	0.9263	98.9849	0.0000	2.1007	0.0000	0.9358	0.0000	1.3690	3.3202	0.0000	0.4820	2.1400	0.0000	
3/31/2018 11:59:59 PM	All Bankers Banks in Louisiana	LABKR	39.1722	0.0000	8.4819	1.8958	2.2893	14.6683	0.2572	2.9414	60.6902	0.2572	-0.0169	0.0000	-1.6565	-1.0611	0.2572	12.4902	0.3511	3.6090	0.0000	1.8958	2.7402	0.0421	2.2893	16.7383	0.3103	0.2623	0.6219	93.1592	0.0000	3.9964	0.0000	0.6676	0.0000	1.6495	1.6894	0.0000	0.3511	3.3621	7.2141	
3/31/2018 11:59:59 PM	All Bankers Banks in Maryland	MDBKR	91.6725	0.0000	-26.5858	1.4956	1.0152	6.3394	-1.5501	1.8838	57.9110	-1.5501	0.0000	0.0000	-14.0601	-14.5413	-1.5501	-21.9091	-1.5501	3.3470	0.0000	1.4956	1.8858	0.0000	1.0152	120.6247	-1.5501	7.0109	1.4647	100.1037	0.0000	3.4542	0.0000	1.4631	0.0000	0.0183	-24.8471	0.0000	-1.5501	3.3505	16.8691	
3/31/2018 11:59:59 PM	All Bankers Banks in Minnesota	MNBKR	38.4346	0.0000	-8.4211	0.1848	1.2285	11.0151	0.5968	3.1094	75.6905	0.5968	0.0084	0.0161	14.0102	3.1197	0.5968	17.6946	0.8272	3.7124	146.4807	0.1687	2.9345	0.3084	1.2285	-31.4781	0.8994	-6.9358	0.5690	94.3747	0.0000	3.6347	187.6153	0.6029	0.0000	1.8358	5.4337	0.0000	0.8272	3.5036	4.3102	
3/31/2018 11:59:59 PM	All Bankers Banks in Missouri	MOBKR	10.7004	0.0000	-64.6959	0.0000	3.6680	13.6943	0.8435	2.8447	48.6846	0.8435	-0.0567	0.0000	7.7361	2.5132	0.8435	-36.7688	1.1724	3.0210	0.0000	0.0000	2.7632	0.0000	3.6680	-34.9574	0.8718	-10.7443	0.1712	97.1361	0.0000	3.4958	0.0000	0.1763	285.2348	1.9050	-11.3634	0.0000	1.1724	2.9344	1.0758	
3/31/2018 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	30.2863	0.0000	-65.7067	0.0059	1.4833	12.1495	0.4989	2.8190	59.7164	0.4989	0.0000	0.0059	-0.3581	2.5272	0.4989	-25.8502	0.7483	3.7734	0.0000	0.0000	2.6357	0.0000	1.4833	18.0802	0.4989	4.7079	0.8922	93.4953	0.0000	5.1494	0.0000	0.9543	234.6153	3.2620	-5.4897	0.0000	0.7483	3.5279	0.0000	
